_id,SL No,Year,Month,State Name,Constituency Name,Candidate Name,Sex,Party,Constituency Type,Total Electors,Valid Votes,Candidate Votes,Turnout %,Candidate Vote Share %,Winning Margin %
423,423,2019,4,Uttar Pradesh,SAMBHAL,DR. SHAFIQUR REHMAN BARQ,M,SP,GEN,1813839,1183469,658006,65.25,55.6,14.77
424,424,2019,4,Uttar Pradesh,AMROHA,KUNWAR DANISH ALI,M,BSP,GEN,1633186,1169182,601082,71.59,51.41,5.41
425,425,2019,4,Uttar Pradesh,MEERUT,RAJENDRA AGARWAL,M,BJP,GEN,1872146,1216413,586184,64.97,48.19,0.39
426,426,2019,4,Uttar Pradesh,BAGHPAT,DR. SATYAPAL SINGH,M,BJP,GEN,1592297,1044894,525789,65.62,50.32,2.25
427,427,2019,4,Uttar Pradesh,GHAZIABAD,VIJAY KUMAR SINGH,M,BJP,GEN,2656779,1524456,944503,57.38,61.96,32.9
428,428,2019,4,Uttar Pradesh,GAUTAM BUDDHA NAGAR,DR. MAHESH SHARMA,M,BJP,GEN,2241247,1392952,830812,62.15,59.64,24.19
429,429,2019,4,Uttar Pradesh,BULANDSHAHR,BHOLA SINGH,M,BJP,SC,1776567,1123629,681321,63.25,60.64,25.81
430,430,2019,4,Uttar Pradesh,ALIGARH,SATISH KUMAR GAUTAM,M,BJP,GEN,1876818,1163184,656215,61.98,56.42,19.71
431,431,2019,4,Uttar Pradesh,HATHRAS,RAJVIR DILER,M,BJP,SC,1831216,1150294,684299,62.82,59.49,22.62
432,432,2019,4,Uttar Pradesh,MATHURA,HEMA MALINI,F,BJP,GEN,1786187,1102731,671293,61.74,60.88,26.61
433,433,2019,4,Uttar Pradesh,AGRA,SATYAPAL SINGH BAGHEL,M,BJP,SC,1904706,1145323,646875,60.13,56.48,18.47
434,434,2019,4,Uttar Pradesh,FATEHPUR SIKRI,RAJKUMAR CHAHAR,M,BJP,GEN,1692961,1037151,667147,61.26,64.32,47.73
435,435,2019,4,Uttar Pradesh,FIROZABAD,DR. CHANDRA SEN JADON,M,BJP,GEN,1740562,1075866,495819,61.81,46.09,2.68
436,436,2019,4,Uttar Pradesh,MAINPURI,MULAYAM SINGH YADAV,M,SP,GEN,1702320,976518,524926,57.36,53.75,9.67
437,437,2019,4,Uttar Pradesh,ETAH,RAJVEER SINGH (RAJU BHAIYA),M,BJP,GEN,1607290,999607,545348,62.19,54.56,12.27
438,438,2019,4,Uttar Pradesh,BADAUN,DR. SANGHMITRA MAURYA,F,BJP,GEN,1881754,1081108,511352,57.45,47.3,1.71
439,439,2019,4,Uttar Pradesh,AONLA,DHARMENDRA KASHYAP,M,BJP,GEN,1770446,1052795,537675,59.46,51.07,10.8
440,440,2019,4,Uttar Pradesh,BAREILLY,SANTOSH KUMAR GANGWAR,M,BJP,GEN,1776786,1068342,565270,60.13,52.91,15.66
441,441,2019,4,Uttar Pradesh,PILIBHIT,FEROZE VARUN GANDHI,M,BJP,GEN,1747654,1186589,704549,67.9,59.38,21.54
442,442,2019,4,Uttar Pradesh,SHAHJAHANPUR,ARUN KUMAR SAGAR,M,BJP,SC,2097166,1186157,688990,56.56,58.09,22.63
443,443,2019,4,Uttar Pradesh,KHERI,AJAY KUMAR,M,BJP,GEN,1757116,1136660,609589,64.69,53.63,19.25
444,444,2019,4,Uttar Pradesh,DHAURAHRA,REKHA VERMA,F,BJP,GEN,1634417,1063840,512905,65.09,48.21,15.1
445,445,2019,4,Uttar Pradesh,SITAPUR,RAJESH VERMA,M,BJP,GEN,1653545,1064521,514528,64.38,48.33,9.47
446,446,2019,4,Uttar Pradesh,HARDOI,JAI PRAKASH,M,BJP,SC,1794142,1057558,568143,58.95,53.72,12.53
